,season,episode_number,title,airdate,rating,total_votes,desc,series
0,1,0,The Cage,1992-08-19,7.6,6085,Capt. Pike is held prisoner and tested by aliens who have the power to project incredibly lifelike illusions.,TOS
1,1,1,The Man Trap,1969-10-04,7.2,4905,Dr. McCoy discovers his old flame is not what she seems after crew members begin dying from a sudden lack of salt in their bodies.,TOS
2,1,2,Charlie X,1969-09-13,7.0,4594,Captain Kirk must learn the limits to the power of a 17-year-old boy with the psychic ability to create anything and destroy anyone.,TOS
3,1,3,Where No Man Has Gone Before,1969-07-12,7.7,5479,The flight recorder of the 200-year-old U.S.S. Valiant relays a tale of terror--a magnetic storm at the edge of the galaxy!,TOS
4,1,4,The Naked Time,1969-07-19,7.8,4331,The crew is infected with a mysterious disease that removes people's emotional inhibitions to a dangerous degree.,TOS
5,1,5,The Enemy Within,1970-04-13,7.6,4105,"A transporter malfunction splits Captain Kirk into two halves: one meek and indecisive, the other violent and ill tempered. The remaining crew members stranded on the planet cannot be beamed up to the ship until a problem is fixed.",TOS
6,1,6,Mudd's Women,1969-08-09,6.7,4008,The Enterprise picks up untrustworthy entrepreneur Harry Mudd accompanied by three beautiful women who immediately put a spell on all the male crew members.,TOS
7,1,7,What Are Little Girls Made Of?,1969-11-08,7.5,3875,Nurse Chapel is reunited with her fiancé; but his new obsession leads him to make an android duplicate of Captain Kirk.,TOS
8,1,8,Miri,1970-12-02,7.0,3734,"The Enterprise discovers a planet exactly like Earth, but the only inhabitants are children who contract a fatal disease upon entering puberty.",TOS
9,1,9,Dagger of the Mind,1969-10-11,7.4,3629,Kirk and psychiatrist Helen Noel are trapped on a maximum security penal colony that experiments with mind control and Spock must use the Vulcan mind-meld to find a way to save them.,TOS
10,1,10,The Corbomite Maneuver,1970-12-16,8.0,4030,"After the Enterprise is forced to destroy a dangerous marker buoy, a gigantic alien ship arrives to capture and condemn the crew as trespassers.",TOS
11,1,11,The Menagerie: Part I,1969-08-23,8.2,4010,"Spock kidnaps the crippled Capt. Pike, hijacks the Enterprise and then surrenders for court martial.",TOS
12,1,12,The Menagerie: Part II,1969-08-30,8.1,3873,"At Spock's court martial, he explains himself with mysterious footage about when Capt. Pike was kidnapped by powerful illusion casting aliens.",TOS
13,1,13,The Conscience of the King,1969-12-20,7.1,3506,"While Captain Kirk investigates whether an actor is actually a presumed dead mass murderer, a mysterious assailant is killing the people who could identify the fugitive.",TOS
14,1,14,Balance of Terror,1969-10-25,8.8,4677,The Enterprise must decide on its response when a Romulan ship makes a destructively hostile armed probe of Federation territory.,TOS
15,1,15,Shore Leave,1969-09-20,7.4,3684,"The past three months have left the crew of the Enterprise exhausted and in desperate need of a break, but does this explain McCoy's encounter with a human-sized white rabbit or Kirk crossing paths with the prankster who plagued his days at Starfleet Academy?",TOS
16,1,16,The Galileo Seven,1969-12-27,7.6,3522,"The Galileo, under Spock's command, crash-lands on a hostile planet. As the Enterprise races against time to find the shuttlecraft, Spock's strictly logical leadership clashes with the fear and resentment of his crew.",TOS
17,1,17,The Squire of Gothos,1969-11-01,7.2,3473,A being that controls matter and creates planets wants to play with the Enterprise crew.,TOS
18,1,18,Arena,1969-11-15,7.9,3750,"For bringing hostility into their solar system, a superior alien race brings Captain Kirk in mortal combat against the reptilian captain of an alien ship he was pursuing.",TOS
19,1,19,Tomorrow Is Yesterday,1969-08-16,7.9,3593,The Enterprise is thrown back in time to 1960s Earth.,TOS
